FRANCHISE_ID,ID,NAME,AREA,BUILDING,PHONE,CUISINE_DESCRIPTION,PHONE_AREA_CODE,FRANCHISE_LOCATION_COUNT,IS_FRANCHISE
"""U"" LIKE CHINESE TAKE OUT_1_50126747",50126747,"""U"" LIKE CHINESE TAKE OUT",TORONTO,4926,2129426668,Chinese,212,1,False
#1 GARDEN CHINESE RESTAURANT_1_50075009,50075009,#1 GARDEN CHINESE RESTAURANT,RICHMOND HILL,221,9172508950,Chinese,917,1,False
#1 SABOR LATINO RESTAURANT_1_41336841,41336841,#1 SABOR LATINO RESTAURANT,NORTH YORK,4120,7186532222,Latin American,718,1,False
$1 PIZZA_2_50086385,50086385,$1 PIZZA,TORONTO,832,9175878888,Pizza,917,2,True
$1 PIZZA_2_50117047,50117047,$1 PIZZA,TORONTO,333B,5513581106,Pizza,551,2,True
$1 SLICE PIZZA_1_50138727,50138727,$1 SLICE PIZZA,NORTH YORK,3414,3475417717,Pizza,347,1,False
$1.50  UTICA HOT PIZZA_1_50098909,50098909,$1.50  UTICA HOT PIZZA,RICHMOND HILL,1127,3478845060,Pizza,347,1,False
$1.50 FORDHAM HEIGHTS PIZZA_1_50169945,50169945,$1.50 FORDHAM HEIGHTS PIZZA,NORTH YORK,2234,9173404740,,917,1,False
$1.50 FRESH PIZZA & HOT DOG_1_50105651,50105651,$1.50 FRESH PIZZA & HOT DOG,TORONTO,131,6464093489,Pizza,646,1,False
$1.50 FRESH PIZZA_2_50136410,50136410,$1.50 FRESH PIZZA,TORONTO,1723,7189125126,Pizza,718,2,True
$1.50 FRESH PIZZA_2_50136412,50136412,$1.50 FRESH PIZZA,TORONTO,383,2129661110,Pizza,212,2,True
$1.50 HOT PIZZA_2_50142412,50142412,$1.50 HOT PIZZA,RICHMOND HILL,255,3478845060,Pizza,347,2,True
$1.50 HOT PIZZA_2_50163377,50163377,$1.50 HOT PIZZA,RICHMOND HILL,1751,3475920647,Pizza,347,2,True
$1.50 PIZZA SLICE_1_50153086,50153086,$1.50 PIZZA SLICE,TORONTO,748,5513581106,Pizza,551,1,False
& MORE BY SHERATON_1_41319107,41319107,& MORE BY SHERATON,ETOBICOKE,135-20,7184606666,American,718,1,False
& SON_1_50126158,50126158,& SON,TORONTO,62,2129331193,Steakhouse,212,1,False
&HOLIDAY_1_50173809,50173809,&HOLIDAY,TORONTO,67,5043242362,,504,1,False
'ESSEN_1_50178828,50178828,'ESSEN,TORONTO,290,2126890800,,212,1,False
(PUBLIC FARE) 81ST STREET AND CENTRAL PARK WEST (DELACORTE THEATRE)_1_41414797,41414797,(PUBLIC FARE) 81ST STREET AND CENTRAL PARK WEST (DELACORTE THEATRE),TORONTO,,6467475354,American,646,1,False
0:00_1_50175218,50175218,0:00,ETOBICOKE,21-38,9085688898,,908,1,False
1 BANANA QUEEN_1_41316782,41316782,1 BANANA QUEEN,NORTH YORK,6,9174430676,"Juice, Smoothies, Fruit Salads",917,1,False
1 EAST 66TH STREET KITCHEN_1_40359480,40359480,1 EAST 66TH STREET KITCHEN,TORONTO,1,2128793900,American,212,1,False
1 FABENE_1_50158107,50158107,1 FABENE,TORONTO,2309,3478225785,Pizza,347,1,False
1 GOLDEN PANCAKE_1_50152889,50152889,1 GOLDEN PANCAKE,ETOBICOKE,135-15,3478284282,Pancakes/Waffles,347,1,False
1 HOTEL BROOKLYN BRIDGE_1_50058063,50058063,1 HOTEL BROOKLYN BRIDGE,RICHMOND HILL,90,3476962500,American,347,1,False
1 HOTEL EMPLOYEE DINING KITCHEN #36_1_50059310,50059310,1 HOTEL EMPLOYEE DINING KITCHEN #36,RICHMOND HILL,60,9175453746,American,917,1,False
1 OF 1 SANDWICH_1_50172594,50172594,1 OF 1 SANDWICH,RICHMOND HILL,82,9175657183,,917,1,False
1 QUETZAL_1_50076292,50076292,1 QUETZAL,RICHMOND HILL,7210,9296669989,Mexican,929,1,False
1 STOP PATTY SHOP_1_41430594,41430594,1 STOP PATTY SHOP,TORONTO,1708,2124917466,Bakery Products/Desserts,212,1,False
1 WAFFLE N SIP_1_50146271,50146271,1 WAFFLE N SIP,ETOBICOKE,216-21,3478885349,American,347,1,False
1.5 DAK GALBI_1_50068567,50068567,1.5 DAK GALBI,ETOBICOKE,158-03,9172852772,Korean,917,1,False
1.50 HOT PIZZA_2_50068084,50068084,1.50 HOT PIZZA,NORTH YORK,526A,3479634238,Pizza,347,2,True
1.50 HOT PIZZA_2_50161078,50161078,1.50 HOT PIZZA,RICHMOND HILL,887,3475534126,Pizza,347,2,True
1.50 PIZZA_1_50158801,50158801,1.50 PIZZA,TORONTO,617,3472495119,Pizza,347,1,False
1.50 SOUTHERN PIZZA_1_50176201,50176201,1.50 SOUTHERN PIZZA,NORTH YORK,546,9173404740,Pizza,917,1,False
10 02 LOUNGE AND RESTAURANT_1_50072260,50072260,10 02 LOUNGE AND RESTAURANT,NORTH YORK,806,9176172812,Caribbean,917,1,False
100 FUN_1_41111464,41111464,100 FUN,RICHMOND HILL,,6464160209,Asian/Asian Fusion,646,1,False
100 MARKET PLACE_1_50145138,50145138,100 MARKET PLACE,TORONTO,100,2129015400,American,212,1,False
100% MR. LIN_1_50078036,50078036,100% MR. LIN,RICHMOND HILL,445,9175787200,Chinese,917,1,False
100'S RESTAURANT AND GRILL LLC_1_50178865,50178865,100'S RESTAURANT AND GRILL LLC,ETOBICOKE,127-19,3475933324,,347,1,False
1001 NIGHTS CAFE_1_41456477,41456477,1001 NIGHTS CAFE,SCARBOROUGH,2025,7183708080,American,718,1,False
101 APIZZA_1_50145618,50145618,101 APIZZA,ETOBICOKE,127-26,3475615652,Pizza,347,1,False
101 CAFE_1_41458716,41458716,101 CAFE,ETOBICOKE,98-05,7188482233,American,718,1,False
101 CHICKEN_1_50175945,50175945,101 CHICKEN,ETOBICOKE,48-18,5517772600,,551,1,False
101 DELI_1_40591271,40591271,101 DELI,ETOBICOKE,100-16,7186341121,Sandwiches,718,1,False
101 DYCKMAN PESCADERIA INC_1_50179313,50179313,101 DYCKMAN PESCADERIA INC,TORONTO,101,6468241094,,646,1,False
101 KTV BAR LOUNGE_1_50143407,50143407,101 KTV BAR LOUNGE,ETOBICOKE,135-25,7187558709,Chinese,718,1,False
101 MEAT SHOP INC_1_50175660,50175660,101 MEAT SHOP INC,ETOBICOKE,115-04,3479256410,,347,1,False
101 WILSON BAR_1_50065528,50065528,101 WILSON BAR,RICHMOND HILL,101,6502832056,American,650,1,False
1012 KITCHEN_1_50138873,50138873,1012 KITCHEN,RICHMOND HILL,1012,5169466747,Pizza,516,1,False
